# filename,head,shemagh,right_place
0.jpg,1,0,0
1.jpg,0,1,0
2.jpg,0,1,0
3.jpg,1,1,0
4.jpg,1,1,1
5.jpg,0,0,0
6.jpg,0,1,0
7.jpg,1,1,1
8.jpg,1,0,0
9.jpg,1,1,1
10.jpg,0,0,0
11.jpg,1,0,0
12.jpg,0,1,0
13.jpg,0,0,0
14.jpg,0,0,0
15.jpg,0,1,0
16.jpg,1,0,0
17.jpg,1,0,0
18.jpg,1,0,0
19.jpg,1,0,0
20.jpg,0,0,0
21.jpg,1,1,1
22.jpg,1,1,1
23.jpg,0,0,0
24.jpg,0,0,0
25.jpg,1,0,0
26.jpg,0,1,0
27.jpg,1,0,0
28.jpg,0,1,0
29.jpg,1,0,0
30.jpg,1,0,0
31.jpg,1,0,0
32.jpg,1,1,1
33.jpg,1,0,0
34.jpg,0,0,0
35.jpg,1,1,1
36.jpg,1,1,1
37.jpg,1,1,1
38.jpg,1,1,0
39.jpg,1,0,0
40.jpg,1,1,1
41.jpg,1,1,1
42.jpg,1,0,0
43.jpg,0,0,0
44.jpg,1,0,0
45.jpg,1,0,0
46.jpg,1,1,0
47.jpg,0,0,0
48.jpg,1,1,1
49.jpg,1,0,0
50.jpg,1,0,0
51.jpg,0,0,0
52.jpg,1,1,1
53.jpg,1,0,0
54.jpg,1,0,0
55.jpg,1,0,0
56.jpg,1,0,0
57.jpg,1,0,0
58.jpg,0,0,0
59.jpg,1,0,0
60.jpg,1,1,1
61.jpg,1,1,0
62.jpg,0,0,0
63.jpg,1,0,0
64.jpg,1,0,0
65.jpg,1,1,1
66.jpg,0,1,0
67.jpg,1,0,0
68.jpg,1,0,0
69.jpg,0,0,0
70.jpg,1,0,0
71.jpg,0,1,0
72.jpg,1,1,0
73.jpg,0,0,0
74.jpg,1,0,0
75.jpg,1,1,1
76.jpg,0,0,0
77.jpg,0,0,0
78.jpg,0,0,0
79.jpg,0,0,0
80.jpg,0,1,0
81.jpg,0,0,0
82.jpg,1,1,1
83.jpg,1,1,1
84.jpg,0,0,0
85.jpg,1,0,0
86.jpg,0,1,0
87.jpg,1,1,0
88.jpg,0,0,0
89.jpg,0,0,0
90.jpg,1,1,1
91.jpg,1,1,1
92.jpg,1,1,1
93.jpg,0,1,0
94.jpg,0,0,0
95.jpg,1,1,1
96.jpg,0,0,0
97.jpg,0,0,0
98.jpg,0,0,0
99.jpg,0,0,0
100.jpg,0,1,0
101.jpg,0,1,0
102.jpg,0,0,0
103.jpg,1,0,0
104.jpg,1,1,1
105.jpg,0,0,0
106.jpg,1,0,0
107.jpg,1,1,0
108.jpg,0,0,0
109.jpg,1,1,1
110.jpg,1,1,1
111.jpg,1,1,1
112.jpg,1,0,0
113.jpg,1,0,0
114.jpg,1,0,0
115.jpg,0,0,0
116.jpg,1,0,0
117.jpg,1,1,1
118.jpg,1,1,0
119.jpg,1,1,1
120.jpg,1,1,0
121.jpg,1,0,0
122.jpg,1,0,0
123.jpg,1,0,0
124.jpg,1,0,0
125.jpg,1,0,0
126.jpg,1,0,0
127.jpg,1,1,1
128.jpg,1,1,1
129.jpg,0,1,0
130.jpg,0,0,0
131.jpg,0,0,0
132.jpg,1,1,1
133.jpg,1,0,0
134.jpg,1,1,0
135.jpg,1,1,1
136.jpg,1,0,0
137.jpg,0,0,0
138.jpg,1,0,0
139.jpg,1,0,0
140.jpg,1,1,1
141.jpg,0,1,0
142.jpg,1,0,0
143.jpg,1,0,0
144.jpg,1,0,0
145.jpg,0,0,0
146.jpg,0,1,0
147.jpg,0,0,0
148.jpg,1,0,0
149.jpg,0,0,0
150.jpg,0,0,0
151.jpg,0,0,0
152.jpg,0,0,0
153.jpg,0,0,0
154.jpg,1,1,1
155.jpg,0,1,0
156.jpg,1,1,1
157.jpg,1,1,0
158.jpg,1,1,1
159.jpg,0,1,0
160.jpg,1,0,0
161.jpg,0,0,0
162.jpg,0,1,0
163.jpg,1,1,1
164.jpg,1,0,0
165.jpg,0,0,0
166.jpg,0,0,0
167.jpg,0,1,0
168.jpg,1,0,0
169.jpg,0,1,0
170.jpg,1,0,0
171.jpg,0,1,0
172.jpg,0,0,0
173.jpg,1,0,0
174.jpg,0,1,0
175.jpg,1,0,0
176.jpg,1,0,0
177.jpg,0,1,0
178.jpg,1,1,1
179.jpg,1,1,1
180.jpg,1,0,0
181.jpg,0,0,0
182.jpg,0,0,0
183.jpg,0,1,0
184.jpg,1,0,0
185.jpg,1,1,0
